Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Saw VI,27693292.0,61259697.0,8308717.0,11000000.0,Oct 23 2009,R,91.0,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Kevin Greutert,42.0,6.2,18091.0
School for Scoundrels,17807569.0,17807569.0,13739501.0,20000000.0,Sep 29 2006,PG-13,101.0,MGM,Remake,Comedy,Contemporary Fiction,Todd Phillips,26.0,6.0,15536.0
Stardust,38634938.0,135556675.0,25129402.0,70000000.0,Aug 10 2007,PG-13,128.0,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Matthew Vaughn,76.0,7.9,87883.0
Shooter,47003582.0,95203582.0,57333255.0,60000000.0,Mar 23 2007,R,125.0,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Antoine Fuqua,48.0,7.2,149.0
The Simpsons Movie,183135014.0,527071022.0,96359085.0,72500000.0,Jul 27 2007,PG-13,86.0,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89.0,7.6,117656.0
Slumdog Millionaire,141319928.0,365257315.0,31952272.0,14000000.0,Nov 12 2008,R,116.0,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Danny Boyle,94.0,8.3,176325.0
Smokin' Aces,35662731.0,56047261.0,35817034.0,17000000.0,Jan 26 2007,R,108.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Joe Carnahan,28.0,6.6,57313.0
Snakes on a Plane,34020814.0,62020814.0,23704179.0,33000000.0,Aug 18 2006,R,105.0,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David R. Ellis,68.0,6.0,65841.0
Sunshine,3688560.0,32030610.0,6342481.0,40000000.0,Jul 20 2007,R,108.0,Fox Searchlight,Original Screenplay,Thriller/Suspense,Science Fiction,Danny Boyle,74.0,7.3,74535.0
Superbad,121463226.0,169863226.0,134555373.0,17500000.0,Aug 17 2007,R,112.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Greg Mottola,87.0,7.8,134212.0
Spider-Man 2,373524485.0,783705001.0,4196484.0,200000000.0,Jun 30 2004,PG-13,127.0,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,93.0,7.7,141940.0
Spider-Man 3,336530303.0,890871626.0,124058348.0,258000000.0,May 04 2007,PG-13,139.0,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,63.0,6.4,141513.0
Superman Returns,200120000.0,391120000.0,81580739.0,232000000.0,Jun 28 2006,PG-13,157.0,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Bryan Singer,76.0,6.6,102751.0
Stranger Than Fiction,40435190.0,45235190.0,30936711.0,30000000.0,Nov 10 2006,PG-13,112.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Marc Forster,72.0,7.8,74218.0
State of Play,37017955.0,91445389.0,13578224.0,60000000.0,Apr 17 2009,PG-13,127.0,Universal,Based on TV,Thriller/Suspense,Contemporary Fiction,Kevin MacDonald,84.0,7.3,34067.0
Step Up,65328121.0,115328121.0,51317604.0,12000000.0,Aug 11 2006,PG-13,98.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Anne Fletcher,19.0,6.1,21691.0
Surrogates,38577772.0,119668350.0,11099238.0,80000000.0,Sep 25 2009,PG-13,104.0,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,Jonathan Mostow,39.0,6.3,36940.0
The Tale of Despereaux,50877145.0,88717945.0,26233404.0,60000000.0,Dec 19 2008,G,93.0,Universal,Based on Book/Short Story,Adventure,Kids Fiction,Sam Fell,55.0,6.1,7460.0
Transformers,319246193.0,708272592.0,290787166.0,151000000.0,Jul 03 2007,PG-13,140.0,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,57.0,7.3,197131.0
Transformers: Revenge of the Fallen,402111870.0,836303693.0,217509899.0,210000000.0,Jun 24 2009,PG-13,149.0,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,20.0,6.0,95786.0
The Mist,25593755.0,54777490.0,29059367.0,13000000.0,Nov 21 2007,R,127.0,MGM,Based on Book/Short Story,Horror,Science Fiction,Frank Darabont,73.0,7.4,76830.0
Tropic Thunder,110461307.0,188163455.0,50387300.0,90000000.0,Aug 13 2008,R,106.0,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,83.0,7.2,104839.0
Twilight,192769854.0,396439854.0,193591463.0,37000000.0,Nov 21 2008,PG-13,120.0,Summit Entertainment,Based on Book/Short Story,Drama,Fantasy,Catherine Hardwicke,50.0,6.1,4840.0
Up,293004164.0,731304609.0,178459329.0,175000000.0,May 29 2009,PG,96.0,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Pete Docter,98.0,8.4,110491.0
Valkyrie,83077470.0,198686497.0,26715008.0,75000000.0,Dec 25 2008,PG-13,120.0,United Artists,Based on Real Life Events,Thriller/Suspense,Dramatization,Bryan Singer,61.0,7.3,54343.0
In the Valley of Elah,6777741.0,24489150.0,3182650.0,23000000.0,Sep 14 2007,R,120.0,Warner Bros.,Based on Real Life Events,Drama,Dramatization,Paul Haggis,73.0,7.4,27529.0
WALL-E,223808164.0,532743103.0,142201722.0,180000000.0,Jun 27 2008,G,97.0,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Andrew Stanton,96.0,8.5,182257.0
We Own the Night,28563179.0,54700285.0,22557036.0,28000000.0,Oct 12 2007,R,117.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,James Gray,56.0,7.0,38163.0
Welcome Home Roscoe Jenkins,42436517.0,43607627.0,17066717.0,27500000.0,Feb 08 2008,PG-13,114.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Malcolm D. Lee,23.0,4.5,5700.0
Where the Wild Things Are,77233467.0,99123656.0,27984751.0,100000000.0,Oct 16 2009,PG,100.0,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Spike Jonze,73.0,7.2,30669.0
Walk the Line,119519402.0,184319402.0,123216687.0,29000000.0,Nov 18 2005,PG-13,80.0,20th Century Fox,Based on Real Life Events,Drama,Dramatization,James Mangold,82.0,7.9,85235.0
Wanted,134508551.0,340934768.0,71092823.0,75000000.0,Jun 27 2008,R,110.0,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,Timur Bekmambetov,71.0,6.4,1089.0
The Wrestler,26236603.0,43236603.0,11912450.0,6000000.0,Dec 17 2008,R,109.0,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Darren Aronofsky,98.0,8.2,93301.0
Year One,43337279.0,57604723.0,14813995.0,60000000.0,Jun 19 2009,PG-13,97.0,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,Harold Ramis,14.0,5.0,23091.0
Yes Man,97690976.0,225990976.0,26601131.0,50000000.0,Dec 19 2008,PG-13,104.0,Warner Bros.,Based on Book/Short Story,Comedy,Contemporary Fiction,Peyton Reed,43.0,7.0,62150.0
Zombieland,75590286.0,98690286.0,28281155.0,23600000.0,Oct 02 2009,R,87.0,Sony Pictures,Original Screenplay,Comedy,Fantasy,Ruben Fleischer,89.0,7.8,81629.0
Zack and Miri Make a Porno,31452765.0,36851125.0,21240321.0,24000000.0,Oct 31 2008,R,101.0,Weinstein Co.,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,65.0,7.0,55687.0
